record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-1154287ec074b2b1,CAPITAL_IMPROVEMENTS|NATIVE|WTR-20-0005.3-W RIVERSIDE HEIGHTS,src-8fab744d78b8c791,tpa-2b1064aff1ae34,capital_improvements,WTR-20-0005.3-W Riverside Heights,2021-12-06,2021-12,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,FY20 CIP Water Main Improvements Design-Build_W Riverside Heights – GMP 5,Water,,West Riverside Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-20-0005.3-W
rec-20896cf934e401e0,CAPITAL_IMPROVEMENTS|NATIVE|WTR-21-0014,src-1b8f3d9498136e4b,tpa-77d281688e839d,capital_improvements,WTR-21-0014,2021-12-06,2021-12,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Project Startup,Armory Gardens,Water,,Armory Gardens,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-21-0014.pdf
rec-213a73518ebf7018,CAPITAL_IMPROVEMENTS|NATIVE|WTR-21-0015,src-ef743c4a15c404f8,tpa-d1773208bf209c,capital_improvements,WTR-21-0015,2021-12-06,2021-12,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Project Startup,Jefferson,Water,,Tampa Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-21-0015.pdf
rec-33f9dbb15ac35323,CAPITAL_IMPROVEMENTS|NATIVE|WUR-22-0032,src-6d48a72de8d7e3a1,tpa-2b64f75f74fca0,capital_improvements,WUR-22-0032,2021-12-06,2021-12,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,60% Design Completion,S. Himes WM R&R,Water,,Golfview,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWUR-22-0032.pdf
rec-53a055b8fe1bcd2b,CAPITAL_IMPROVEMENTS|NATIVE|WTR-20-0005.3-12TH ST,src-30b7dc8f6c03c020,tpa-18140cc0c8929a,capital_improvements,WTR-20-0005.3-12th St,2021-12-06,2021-12,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,FY20 CIP Water Main Improvements Design-Build_12th St – GMP 5,Water,,Ybor Heights Neighborhood Association and Watch Group,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-20-0005.3-12th
rec-17161a51ad4a8422,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0489687,src-4ffab3c3d4202cbc,tpa-b5952e2c44cb78,construction_inspections,BLD-22-0489687,2021-12-31,2021-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,REISSUE - Interior/Exterior Remodel,Commercial Building Alterations (Renovations),3512 E Dr Martin Luther King Jr Blvd,Rainbow Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02YBW&agencyCode=TAMPA
rec-1bcbafd95672bdbf,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0489484,src-4bbf0493aa67b702,tpa-cb759058dc0774,construction_inspections,BLD-22-0489484,2021-12-13,2021-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Unit 1: Living space addition over garage,Residential New Construction and Additions (1 and 2 Family),206 S Moody Ave,South Howard,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02WX5&agencyCode=TAMPA
rec-39a7007f4092800c,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0489398,src-ff1e43a210a33cb6,tpa-e16dc8db40500c,construction_inspections,BLD-22-0489398,2021-12-14,2021-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,PRIVATE PROVIDER: U:1 townhome,Residential New Construction and Additions (1 and 2 Family),2605 W Cleveland St N,Palma Ceia Pines,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02W5J&agencyCode=TAMPA
rec-4e93dbbf28fce5c6,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0489577,src-68ada30f91a2b21f,tpa-5fb27fafe46619,construction_inspections,BLD-22-0489577,2021-12-22,2021-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REISSUE - Remodel,Residential Building Alterations (Renovations),2114 W Jetton Ave,Historic Hyde Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02XLR&agencyCode=TAMPA
rec-69cd2be9212c69c3,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0489459,src-3b758c91124b15b1,tpa-acc6124713fa4e,construction_inspections,BLD-22-0489459,2021-12-16,2021-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Re-opened New SFR,Residential New Construction and Additions (1 and 2 Family),3109 E 10th Ave,Historic East Ybor and Gary,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02WQJ&agencyCode=TAMPA
rec-814eb105dfb5ddbb,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-22-0441973,src-dd1687db49df041b,tpa-2dd394e087fb26,construction_inspections,BDE-22-0441973,2021-12-15,2021-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REISSUE - 3506 E 8th Ave (ACA),Residential Demolition Permit,3506 E 8th Ave,Historic East Ybor and Gary,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02WJ5&agencyCode=TAMPA
rec-afaff5c0872846e4,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0489170,src-a6f8b7a8fbe24d24,tpa-3dc8a20a701399,construction_inspections,BLD-22-0489170,2021-12-06,2021-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REISSUE - OWNER: Threshold: Kitchen Remodel,Commercial Building Alterations (Renovations),859 Seddon Cove Way,Harbour Island,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02UEO&agencyCode=TAMPA
rec-abbd557fea4aaf4c,SINGLE_FAMILY_PERMITS|NATIVE|BLD-21-0484188,src-abd0a53e22280d94,tpa-5ef1a7eff7743c,single_family_permits,BLD-21-0484188,2021-12-09,2021-12,permit_issued,TASK_STATUS_DATE,source_reported_event,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued | Issued,Residential New Construction and Additions (1 and 2 Family),Residential | New Construction and Additions | Building,2124 W Farwell Dr,Wellswood,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/32
