record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-4dd3286996988ae8,CAPITAL_IMPROVEMENTS|NATIVE|WTR-18-0008,src-d4945b6e3443cf0b,tpa-bebd114ca3a098,capital_improvements,WTR-18-0008,2021-09-07,2021-09,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Construction in Progress | C2.1-Construction,D. L. Tippin Chemical System Improvements,Water,,Old Seminole Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-18-0008.pdf
rec-1ab9be30e8f6bfc2,CAPITAL_LOCATIONS_LINE|NATIVE|WTR-19-0004,src-f0c7a021188d51c3,tpa-602f4535586997,capital_locations_line,WTR-19-0004,2021-09-14,2021-09,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Southeast Seminole Heights,Water,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-19-0004.pdf
rec-4ce54fae67c82941,CAPITAL_LOCATIONS_POINT|NATIVE|1001566,src-51b677dfc78d503d,tpa-024c352566fd89,capital_locations_point,1001566,2021-09-30,2021-09,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Dayflower Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-10272de2b1412d24,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0486823,src-aa5abb645e6335b2,tpa-7b12696ce7b0c0,construction_inspections,BLD-21-0486823,2021-09-14,2021-09,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,"Expedited Project | Units A, B, and G: Non-structural remodel",Commercial Building Alterations (Renovations),4115 N Hubert Ave,Drew Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02BW3&agencyCode=TAMPA
rec-6a8bb7d4ef3b22c9,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0486877,src-65f8432528c1353c,tpa-2a279da2b89602,construction_inspections,BLD-21-0486877,2021-09-15,2021-09,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REISSUE - Owner-2nd story addition,Residential New Construction and Additions (1 and 2 Family),1015 E Chilkoot Ave,North Tampa Community,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02CLM&agencyCode=TAMPA
rec-8354cf0646b2382f,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0486904,src-a325c09c70e87c6b,tpa-af1da1a204bb0c,construction_inspections,BLD-21-0486904,2021-09-15,2021-09,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,REISSUE - OWNER - Int/ext alteration,Residential Building Alterations (Renovations),1921 E 5th Ave,Historic Ybor,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02CXN&agencyCode=TAMPA
rec-e1bc94eea3d5b7e8,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-21-0441742,src-947125e762fccb22,tpa-8009005c91f24e,construction_inspections,BDE-21-0441742,2021-09-23,2021-09,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Demo Permit Residential,Residential Demolition Permit,2930 W Alline Ave,Bayshore Beautiful,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02F32&agencyCode=TAMPA
rec-f7d2bddffb69756a,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0486830,src-07deb62bf7cc1fd5,tpa-20d659d9cf2165,construction_inspections,BLD-21-0486830,2021-09-14,2021-09,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Change of use/occupancy,Commercial Building Alterations (Renovations),1020 W Busch Blvd,Lowry Park Central,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02C0K&agencyCode=TAMPA
