candidate_id,activity_id_a,activity_id_b,candidate_reasons,candidate_confidence,review_status,merge_applied
cand-94f6e44721800b7f,tpa-202acca313e70a,tpa-a77d48b8d5071b,exact_normalized_address,low,pending_human_review,no
cand-b00c2128774b8a85,tpa-20635c5f8dbcac,tpa-6fdd9525443cb1,shared_city_building_folio,low,pending_human_review,no
cand-b09379c390381a7d,tpa-20635c5f8dbcac,tpa-8681fda42dd0ff,shared_city_building_folio,low,pending_human_review,no
cand-0437cb44a9b81f43,tpa-20635c5f8dbcac,tpa-aef08567fad618,shared_city_building_folio,low,pending_human_review,no
cand-746ebd8003a61397,tpa-20635c5f8dbcac,tpa-c3125164df8d13,shared_city_building_folio,low,pending_human_review,no
cand-091e88e6cac41433,tpa-20635c5f8dbcac,tpa-d60f7ed42f12b8,shared_city_building_folio,low,pending_human_review,no
cand-ffa3f5dd5696e05f,tpa-20635c5f8dbcac,tpa-edbfb7ebee2316,shared_city_building_folio,low,pending_human_review,no
cand-2567ca5151410a7e,tpa-208a2577af0c74,tpa-48d9713e1c0512,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-3f9cab5346ba4751,tpa-208a2577af0c74,tpa-ea8ae8e45aa79a,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-521ab29334e4f68f,tpa-20e011419fa111,tpa-b01b9c13cc057e,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-38bb7af2a2fc8a01,tpa-210d13a79dbee0,tpa-683ac62998f89d,shared_city_building_folio,low,pending_human_review,no
cand-fb6dea6013483b8c,tpa-210e8e9787b2b7,tpa-f335765362b5a5,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-c06d819562734c2d,tpa-21de62a5b19907,tpa-df5d6fec6dcd3b,exact_normalized_address,low,pending_human_review,no
cand-3660a9267d0beb8a,tpa-220f68136c8678,tpa-9a8ec1cfa721e9,exact_normalized_address,low,pending_human_review,no
cand-152ba95d4c1c2002,tpa-22101f688eb9cd,tpa-8ca352f7f52422,exact_normalized_address,low,pending_human_review,no
cand-011bcb2e80229195,tpa-2243f57773c938,tpa-609079756e9d31,exact_normalized_address,low,pending_human_review,no
cand-313fd1e7a7d9369c,tpa-225df8d9d1d7d3,tpa-81fa1fdc53e785,exact_normalized_address,low,pending_human_review,no
cand-dba99ee95e5b2ac4,tpa-22e1c5704487c3,tpa-8035eaf30fb2d0,exact_normalized_address,low,pending_human_review,no
cand-2d165ecb7e5cfb94,tpa-2349bf8d286e67,tpa-3cd9804b83a52a,exact_normalized_address,low,pending_human_review,no
cand-270017822b8b6538,tpa-23e58d7a13430d,tpa-5b48b1cc3f933d,exact_normalized_address,low,pending_human_review,no
cand-42f77c69c8ae5b2a,tpa-24845ca4544447,tpa-543e744c7a45c5,exact_normalized_address,low,pending_human_review,no
cand-eb6f1e50ff38ad90,tpa-24845ca4544447,tpa-cc0714384a05a8,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-d154d9b0b73ac834,tpa-24ac06c8a0a374,tpa-5e5b275fabebe1,exact_normalized_address,low,pending_human_review,no
cand-3ef0183e2b077ce5,tpa-24f96e9654b9ef,tpa-250a8f5faf6051,exact_normalized_address,low,pending_human_review,no
cand-8b72bfd0156ae77a,tpa-253ef09eb372fb,tpa-8353b973768662,exact_normalized_address,low,pending_human_review,no
cand-9a5fd8b4aceaafe1,tpa-253ef09eb372fb,tpa-b1f512a0f493bf,exact_normalized_address,low,pending_human_review,no
cand-97597938afebfb34,tpa-253ef09eb372fb,tpa-c30629eb839425,exact_normalized_address,low,pending_human_review,no
cand-61a5af964596da2f,tpa-253ef09eb372fb,tpa-c8448441d4fc2a,exact_normalized_address,low,pending_human_review,no
cand-6ff5948cbe8f2315,tpa-253ef09eb372fb,tpa-e224e900af0bda,exact_normalized_address,low,pending_human_review,no
cand-ae34cc8470d70bab,tpa-253ef09eb372fb,tpa-e8b6ad983db0df,exact_normalized_address,low,pending_human_review,no
cand-9fd9572fd015057d,tpa-253ef09eb372fb,tpa-fc0ffdadb41b17,exact_normalized_address,low,pending_human_review,no
cand-d82917c6a010a67a,tpa-26d7a29b1b1ff9,tpa-7edbd4127ed83c,exact_normalized_address,low,pending_human_review,no
cand-8bb9c23e0fefb3fe,tpa-26d7a29b1b1ff9,tpa-e52bbb22849b70,exact_normalized_address,low,pending_human_review,no
cand-75495441e085849e,tpa-2760c5a91cef80,tpa-360ec28e959ae1,shared_city_building_folio,low,pending_human_review,no
cand-ebd221ed68d2295d,tpa-2760c5a91cef80,tpa-3874efd8d5b4cd,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-a085c8ded7adfd1a,tpa-2760c5a91cef80,tpa-aa3bcf451f27f2,shared_city_building_folio,low,pending_human_review,no
cand-14d35de9f649424f,tpa-281313a5dff50d,tpa-3e20d09012ddfd,exact_normalized_address,low,pending_human_review,no
cand-7d2bea4328d638b4,tpa-281313a5dff50d,tpa-d987e6142b19c9,exact_normalized_address,low,pending_human_review,no
cand-853cb342992a0f32,tpa-284152b9f102db,tpa-3fea71eba2b367,exact_normalized_address,low,pending_human_review,no
cand-3d9bc55e3345b46f,tpa-284152b9f102db,tpa-811fdff1550029,exact_normalized_address,low,pending_human_review,no
