source_memberships,source_record_id,activity_stage,status,latitude,longitude,source_endpoint,retrieved_at_utc,project_name,description,activity_class,record_type,address,unit,zip,neighborhood,cra,council_district,status_date,planned_start_date,planned_end_date,last_updated,new_construction_sqft,housing_units,estimated_cost_usd,actual_cost_usd,funding_source,is_public,physical_development_candidate,source_url,activity_id,record_created_date,application_or_opened_date,raw_component_rows,location_count,matched_folios,matched_building_count,matched_year_built_min,matched_year_built_max,parcel_match_confidence,realization_evidence_grade,likely_realized,realization_basis
construction_inspections;single_family_permits,BLD-26-0521367,preconstruction_or_unknown,Revision,27.8771286,-82.4990394,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,PP:New 2-Story SFR,"*PRIVATE PROVIDER – PLAN REVIEW AND INSPECTIONS* NEW CONSTRUCTION OF A 2 STORY SFR WITH A CAR GARAGE, FRONT PORCH, AND LANAI - TURNSTONE B - 4/3.5",building_construction,Residential New Construction and Additions (1 and 2 Family),6305 S Main Ave,,33611,Interbay - South of Gandy,,4,2026-05-22,,,2026-05-22,3004,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZF4&agencyCode=TAMPA,tpa-ff70156e988797,2025-12-18,2025-12-18,2,1,136492.0000,1,,,medium,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521368,permit_or_funding_approved,Issued,27.963495,-82.477503,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,PP: New 2 Story SFR,"""*PRIVATE PROVIDER – PLAN REVIEW AND INSPECTIONS* Detailed description of work."" CONSTRUCTION OF A NEW 2 STORY SFR - HAWTHORNE A - 4/3 **PRIV PRO REVIEWS & INSPECTIONS**",building_construction,Residential New Construction and Additions (1 and 2 Family),1710 W Saint Conrad St,,33607,Old West Tampa,West Tampa,5,2026-04-06,,,2026-04-06,3517,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZF7&agencyCode=TAMPA,tpa-845599e11d236f,2025-12-18,2025-12-18,2,1,177639.0000,1,1962,1962,medium,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521369,permit_or_funding_approved,Issued,27.984501,-82.442745,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Sam's Discount Grocery - Addition/remodel and dumpster enclosure - includes MEPs.,"Permit replacement original Permit BLD-20-0473077 Over 70% of project is completed and inspected on Original permit. SITE PLAN # SRP-25-0003255 WORK TO BE COMPLETED ELECTRIC A/C PLUMBING BUILDING AND SITE FINIAL. - Includes MEPs, no fire",building_construction,Commercial New Construction and Additions,4215 N 15th St,,33610,Historic Belmont Heights,East Tampa,5,2026-02-11,,,2026-02-11,0,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZF9&agencyCode=TAMPA,tpa-4d93674b530d00,2025-12-19,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521379,preconstruction_or_unknown,Revision,27.998856,-82.486431,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,New SFR,"New House with front porch, attached garage and lanai",building_construction,Residential New Construction and Additions (1 and 2 Family),2606 W Powhatan Ave,,33614,Armenia Terrace | Bour Lands | Al Dana Park,,6,2026-06-08,,,2026-06-08,3376,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZGO&agencyCode=TAMPA,tpa-d119242b4519c2,2025-12-19,2025-12-19,2,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521380,permit_or_funding_approved,Issued,27.957735,-82.421532,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA: SITE/FOUNDATION: WM Waste Management,Site and foundation work associated with the a new warehouse addition at the Waste Managment facility.,building_construction,Commercial New Construction and Additions,1400 N 35th St,,33605,Historic East Ybor and Gary,,5,2026-06-02,,,2026-06-02,110443,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZH4&agencyCode=TAMPA,tpa-16a43e58b3ca28,2025-12-21,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521382,preconstruction_or_unknown,Revision,27.981639,-82.534644,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,THRESHOLD: Interior Remodel (TAMPA AIRPORT MARRIOTT),"public spaces renovations Interior renovation to include: Mechanical, Electrical, Plumbing, Building and Fire",building_construction,Commercial Building Alterations (Renovations),4200 George J Bean Pkwy,,33607,Westshore,,6,2026-07-08,,,2026-07-08,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZHS&agencyCode=TAMPA,tpa-4f1a668eeb8b64,2025-12-22,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521400,preconstruction_or_unknown,Revision,27.920808,-82.5276645,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA - New 2-Story SFR,Two story single family home 5908sqft living space 5bedroomd with flex space 8 bathrooms lanai and balcony,building_construction,Residential New Construction and Additions (1 and 2 Family),2604 N Dundee St,,33629,Sunset Park,,4,2026-04-03,,,2026-04-03,5908,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZKU&agencyCode=TAMPA,tpa-6b26f10670ec6f,2025-12-22,2025-12-22,2,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521401,preconstruction_or_unknown,Revision,27.956853,-82.405287,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA: Interior ALT - New office space,"THIS IS A LEVEL II ALTERATION PER FBC, EXISTING BUILDINGS. IT IS THE CONVERSION OF PORTION OF AN EXISTING WAREHOUSE SPACE TO NEW OFFICE SPACE. THERE IS NO CHANGE OF USE, THEREFORE, THE EXISTING ACCESSIBLE PARKING TO REMAIN. FIRE SPRINKLER SYSTEM UNDER SEPARATE FUTURE PERMIT.",building_construction,Commercial Building Alterations (Renovations),1212 N 50th St,,33605,East Side Commercial,,5,2026-06-02,,,2026-06-02,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZKX&agencyCode=TAMPA,tpa-b41208212787c1,2025-12-22,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521416,permit_or_funding_approved,Issued,27.944325,-82.4716935,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Expedited Project,"Weatherization and Hardening Project Replacement of Overhead Roll up doors, windows Storefront Glass, Louvers, addition of generator",building_construction,Commercial Building Alterations (Renovations),103 S Newport Ave,,33606,Hyde Park Spanishtown Creek,,4,2026-02-11,,,2026-02-11,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZO1&agencyCode=TAMPA,tpa-2a59fe36eb7077,2025-12-23,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521424,permit_or_funding_approved,Issued,27.96381,-82.5207435,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,SEC - Interior Alteration - Space #238 - BOSS,"EXISTING TENANT SPACE REMODEL FOR ""BOSS"" HUGO BOSS - SPACE #238 - SECOND LEVEL UNIT STOREFRONT: 1. STOREFRONT SYSTEM, ENTRY DOORS, SIGNAGE EXISTING TO REMAIN. INTERIOR TENANT SPACE: 1. NO CHANGE IN OWNER / USE / OCCUPANCY TYPE. 2. INTERIOR FIT-OUT OF TENANT SPACE INCLUDING: A. NEW NON-LO",building_construction,Commercial Building Alterations (Renovations),2223 N West Shore Blvd,BS,33607,Westshore,,6,2026-02-24,,,2026-02-24,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZPI&agencyCode=TAMPA,tpa-753135ef983deb,2025-12-23,,1,1,110967.0020,1,2001,2001,high,U,,insufficient_completion_evidence
