folio,pin,site_address,site_address_normalized,site_city,site_zip,parcel_type,land_use_code,year_built,remodel_year,building_area_sqft,parcel_area_acres,market_value_usd,building_value_usd,sale_date,sale_amount_usd,vacant_or_improved,stories,source_object_id,source_url,snapshot_date,observed_at_utc,geometry_geojson
136043.0000,A-15-30-18-40Y-000000-00024.0,3012 W Meadow St,3012 W MEADOW ST,Tampa,33611,,0100,1952,1988,949,0.15,221978,86319,2006-03-10,244000,I,1,444352,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.4915440887202,27.869119961471103],[-82.49154623521612,27.86936946039477],[-82.49177538615405,27.869368055136082],[-82.49177504383427,27.869121077466982],[-82.49170267670281,27.869118432395798],[-82.4915440887202,27.869119961471103]]]}"
136124.0000,A-15-30-18-40Z-000004-00005.0,2802 W Foster Ave,2802 W FOSTER AVE,Tampa,33611,,0100,1952,2014,1604,0.35,542375,252028,2014-08-28,255000,I,1,444436,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.48816524439619,27.874503699591052],[-82.48815751300543,27.87491254750719],[-82.48819488239113,27.874918701475405],[-82.48823131475957,27.874928321335638],[-82.48833786770459,27.874974108239407],[-82.48844302235257,27.875022383471645],[-82.48859246449213,27.874739614167012],[-82.48841426897539,27.874664000854256],[-82.4883907975231,27.8746488917439],[-82.48816524439619,27.874503699591052]]]}"
136181.0000,A-15-30-18-40Z-000007-00003.0,6028 S Switzer Ave,6028 S SWITZER AVE,Tampa,33611,,0100,2017,2021,3880,0.24,1138929,910319,,0,,4,444494,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.48931460115091,27.878733821772133],[-82.4893761548151,27.878907945305013],[-82.48986214206184,27.878929179905832],[-82.48986802427805,27.878764201298136],[-82.48931460115091,27.878733821772133]]]}"
136185.0000,A-15-30-18-40Z-000008-00002.0,2809 Sanders Dr,2809 SANDERS DR,Tampa,33611,,0100,1952,1988,1222,0.21,322067,106340,2003-07-31,197500,I,1,444499,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.48822377077482,27.878712171558263],[-82.48821910044684,27.87904423958626],[-82.48841456624103,27.87904868935266],[-82.4884533555031,27.87904956988113],[-82.48845436902796,27.878716578996908],[-82.48822377077482,27.878712171558263]]]}"
136492.0000,A-15-30-18-41G-G00000-00001.0,6306 Interbay Blvd,6306 INTERBAY BLVD,Tampa,33611,,0100,1972,1998,1292,0.23,344484,113546,2004-03-02,146000,I,1,444870,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.49884519238928,27.876810581616017],[-82.4991114209615,27.8771625677512],[-82.49927577385729,27.87705901673421],[-82.49900994087919,27.876706765975896],[-82.49884519238928,27.876810581616017]]]}"
136503.0000,A-15-30-18-41G-G00000-00015.0,6309 S Main Ave,6309 S MAIN AVE,Tampa,33611,,0100,1981,2003,1708,0.17,361890,167192,1985-07-01,56000,I,1,444880,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.49857571495517,27.876455298411948],[-82.49866150914853,27.87656809194743],[-82.49903353069357,27.876336463313585],[-82.49894889816167,27.876220585849175],[-82.49857571495517,27.876455298411948]]]}"
136598.0000,A-15-30-18-41M-000000-00007.0,3107 W Napoleon Ave,3107 W NAPOLEON AVE,Tampa,33611,,0100,1948,1986,1299,0.19,271661,97876,,0,,1,445015,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.49502635165209,27.871578085249723],[-82.49502701616332,27.871880675015625],[-82.49506502334935,27.87188029132303],[-82.49522243909894,27.87187871544596],[-82.49525425614107,27.871878399952358],[-82.49525730611988,27.871575686759137],[-82.49502635165209,27.871578085249723]]]}"
136752.0000,A-15-30-18-41N-000000-00064.0,2823 Shelton Ave,2823 SHELTON AVE,Tampa,33611,,0100,1952,1988,768,0.18,243652,86242,2010-07-12,118500,I,1,445234,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.49109432472153,27.866537256968666],[-82.4910956267261,27.866826063939573],[-82.49132775527562,27.86682523724997],[-82.49132645265566,27.866536430289106],[-82.49109432472153,27.866537256968666]]]}"
136806.0000,A-15-30-18-41O-000004-00035.0,3307 W Van Buren Dr,3307 W VAN BUREN DR,Tampa,33611,,0100,1959,1992,899,0.22,261819,81634,2022-04-08,320000,I,1,445320,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.49941487429447,27.869885579572887],[-82.49941200089674,27.87021698100365],[-82.49943397636247,27.870217093642086],[-82.49965534764716,27.87021799559167],[-82.49965636026828,27.86988555590231],[-82.49941487429447,27.869885579572887]]]}"
136872.0150,A-15-30-18-41O-000015-00002.0,6504 Englewood Ave,6504 ENGLEWOOD AVE,Tampa,33611,,0100,1980,2012,1120,0.21,374807,192576,2023-08-09,460000,I,1,445446,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.50071288685118,27.873241373424555],[-82.50071182114061,27.873386608102628],[-82.50125332204533,27.873382576229588],[-82.50125402042782,27.873238442937975],[-82.50071288685118,27.873241373424555]]]}"
