city_project_id,budget_book_context_record_ids,budget_book_record_count,activity_id,master_project_id,comparison_status,match_method,budget_book_status,core_status,budget_book_project_name,core_project_name,observed_at_utc
TRANS20120,,0,tpa-cfa1d97c9d1567,mp-717eb8548a5de273,core_capital_only,no_exact_identifier_match,,Permitting/Submittals Approval,,Neighborhood Improvements- West Riverside Heights,2026-08-28T04:55:51+00:00
TRANS20122,,0,tpa-bf4daf624fdbb7,mp-4dae1974d5e5c802,core_capital_only,no_exact_identifier_match,,Closeout,,Tampa Palms Blvd Segment 1 (Bruce B. Downs to Bruce B. Downs)- SPM Design,2026-08-28T04:55:51+00:00
TRANS20130,,0,tpa-5bb15542bb9d82,mp-3124fe647e8c246c,core_capital_only,no_exact_identifier_match,,Closeout,,Neighborhood Improvements- Belmar Shores,2026-08-28T04:55:51+00:00
TRANS20133,,0,tpa-276e29cc0bfd56,mp-1ac35603f4693c03,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Brorein St Bridge (#105501) Phase 2 Mechanical/ Electrical Rehabilitation,2026-08-28T04:55:51+00:00
TRANS20134,,0,tpa-71346c0bba0c2c,mp-2823ebae0582ecf1,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Brorein St Bridge (#105501) Phase 1 Structural Rehabilitation,2026-08-28T04:55:51+00:00
TRANS20135,,0,tpa-98a17eb54517ba,mp-4ba7bc24f95c8f99,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Lois Ave (Cleveland St to Boy Scout Blvd),2026-08-28T04:55:51+00:00
TRANS20136,,0,tpa-493189ec1964dd,mp-15b066a282e5cb4d,core_capital_only,no_exact_identifier_match,,Closeout,,Glen Ave Sidewalk and Safety Improvements (Green St to Beach St),2026-08-28T04:55:51+00:00
TRANS20140,,0,tpa-a230454c33a207,mp-55e885983673b34c,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Hanna Avenue Phase II (22nd St to 30th St),2026-08-28T04:55:51+00:00
TRANS20141,,0,tpa-9409ac3893adef,mp-73c7b5180cae1b07,core_capital_only,no_exact_identifier_match,,Planning,,Bermuda Blvd Complete Streets and Seawall (Design),2026-08-28T04:55:51+00:00
TRANS20147,,0,tpa-a6334c218e962f,mp-9a6a43256bf764b7,core_capital_only,no_exact_identifier_match,,60% Design Completion,,N 24th Street (Hanna Ave to Sligh Ave),2026-08-28T04:55:51+00:00
TRANS20148,,0,tpa-503e397e74a47a,mp-54773ec2ed266c53,core_capital_only,no_exact_identifier_match,,90% Design Completion,,30th and Sligh Intersection Improvements,2026-08-28T04:55:51+00:00
TRANS20168.2,,0,tpa-6eb50cb55787ac,mp-468e9328484c35e4,core_capital_only,no_exact_identifier_match,,Planning,,MacDill Ave (Kennedy Blvd to Main St),2026-08-28T04:55:51+00:00
TRANS20168.3,,0,tpa-59e6809d0f658f,mp-6f7b684c1c2dada7,core_capital_only,no_exact_identifier_match,,Planning,,MacDill Ave (Main St to Columbus Dr),2026-08-28T04:55:51+00:00
TRANS20171,,0,tpa-f51432f4534560,mp-92a712fc00addee9,core_capital_only,no_exact_identifier_match,,Project Startup,,N 15th Street ADA Improvements from E 109th Ave to E Fowler Ave,2026-08-28T04:55:51+00:00
TRANS20176,,0,tpa-a78f4c57d3248a,mp-6a1f7b0ff1c2af8d,core_capital_only,no_exact_identifier_match,,30% Design Completion,,MacDill Air Force Base Access Improvements (Interbay Blvd between West Shore Blvd and S. Bayshore Blvd),2026-08-28T04:55:51+00:00
TRANS20177.1,,0,tpa-90a5446f3cdb57,mp-d7e0817eca744a1c,core_capital_only,no_exact_identifier_match,,Closeout,,30th St (E Busch Blvd to E Bougainvillea Ave) Segment 1 (Resurfacing),2026-08-28T04:55:51+00:00
TRANS20177.2,,0,tpa-9e533d5d2e7928,mp-807349d6c8102cac,core_capital_only,no_exact_identifier_match,,60% Design Completion,,30th St (E Bougainvillea Ave to E Fowler Ave) Segment 2 (Resurfacing),2026-08-28T04:55:51+00:00
TRANS20178,,0,tpa-5ab0e5aba72288,mp-58f1e03548254768,core_capital_only,no_exact_identifier_match,,Closeout,,O'Brien St - Segment 1 (Cypress St. to Spruce St.),2026-08-28T04:55:51+00:00
