context_record_id,city_project_id,activity_id,master_project_id,project_name,description,rationale,project_type,fiscal_year,budget_year,funding_source,funded_status,planned_start_date,planned_end_date,actual_start_date,actual_end_date,project_phase,status,estimated_cost_usd,reported_actual_cost_usd,contract_number,department_project_number,activity_status,neighborhood,council_district,cra,project_document_url,project_site_url,source_record_last_edited_at_utc,source_url,observed_at_utc,geometry_geojson
bbp-cc15bc053caf5535,1001949,,,4801 Neptune Way,"This project provides for relocating and upgrading the existing piping system, installation of new inlets, and construction of a new outfall.",Flooding Relief,Stormwater Engineering,On Hold,2022,Stormwater Improvement Fee,Yes,,,,,P2: Design,30% Design Completion,500000,,,SW50025,,Beach Park,6,,https://www.tampa.gov/project/sw50025,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001949.pdf,2022-10-06T18:24:35+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.52424840960609,27.94050108991185]}"
bbp-40a59fc9440aa947,1000750,tpa-d05a3db30262e4,mp-f2694c4bb1744eab,Lower Peninsula Watershed Plan - Southeast Region,"This project provides for a study, modeling and construction of this regional watershed to address chronic flooding for the 6,000 acre area. Project alternatives will be analyzed for capital improvements.",Flooding Relief/ water quality improvement,Stormwater Engineering,2023,2022,Stormwater Improvement Fee,Yes,2022-11-01,2026-09-30,,,P5: Closeout,Closeout,55604452,,19-C-00059,SW40004,,Interbay - South of Gandy,4,,https://www.tampa.gov/project/sw40004,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000750.pdf,2022-10-06T18:09:13+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.49752288004441,27.87433535527807]}"
bbp-49997fac3c180c4b,1000962,,,Fair Oaks Water Main Replacement,"This project provides for replacement of 6,806 linear feet of distribution water pipe with new 6-inch diameter pipe in the Fair Oaks neighborhood. The existing water pipe is deteriorated and undersized to meet current demand.","This project will replace the aging water mains in this area with new and larger diameter water mains, improving water pressure and water quality while reducing the number of service interruptions that might have been caused by main breaks or leakage.",Water,2021,2022,PIPES,Yes,2021-03-01,2022-04-15,2021-03-02,,P5: Closeout,Closeout,3960080.69,,20-C-00040,WTR-18-0002,C2.1-Construction,FairOaks Manhattan,4,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000962.pdf,2022-05-02T13:09:32+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.51230444961365,27.906515314620705]}"
bbp-49ca384eb4e8602b,1001186,,,Harbour Island Force Main Replacement,"This project provides for the replacement of the force main located on Harbour Island that serves the Krause pumping station. Proposed 1,300 LF of 12"" FM, 1,000 LF of 48"" FM and 7,800 of 54"" FM Replacement. FM route starts at the WW treatment plant at the Port and connects to the existing FM at Franklin south of Platt.","The force main replacement project will replace aging, deteriorated pipelines that have reached the end of their useful life and are susceptible to failure that can cause wastewater overflows that impact public health, safety, and the environment. The new force main will provide additional capacity for future development and lower energy costs of public and private pumping stations.",Wastewater,2021,2022,PIPES,Yes,2020-12-31,2024-12-01,2020-12-07,,P5: Closeout,Closeout,83042970,,17-C-00038,WW1001186,C2.1-Construction,Tampa Downtown Partnership,5,Downtown Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001186.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.45288892134339,27.94127581309346]}"
bbp-bf50265f9fda017e,1001566,tpa-024c352566fd89,mp-b444c5d6f324da27,Dayflower Pumping Station Rehabilitation,"This project provides for the rehabilitation of the Dayflower pumping station to include replacement of existing pump bases, valves, and control panel.",The pumping station rehabilitation project will restore the station’s reliability by replacing the aging equipment and will include improvements to reduce vulnerability to extreme weather events. The station is a critical wastewater asset and failure of the station would result in a wastewater overflow that would impact the environment and pose a public health threat to the surrounding neighborhoods.,Wastewater,2021,2022,PIPES,Yes,2021-09-30,2023-07-30,,,P5: Closeout,Closeout,447000,,20-C-00028,WW1001566,,,,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001566.pdf,2022-08-16T14:48:26+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.34912849186571,28.143901938019624]}"
bbp-865a42f1c62af936,1001303,tpa-9cb920953f4186,mp-df0fc6b847a57e5f,Krause Pumping Station Standby Generator,This project provides for the installation of a standby generator at the Krause pumping station.,This project provides a permanent standby power generator system to ensure continuous of the pumping station during a loss of power.,Wastewater,2022,2022,PIPES,Yes,2022-01-01,2024-12-01,,,P5: Closeout,Closeout,1322592,,21-C-00009,WW1001303,,Tampa Downtown Partnership,5,Downtown Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001303.pdf,2022-08-16T14:49:47+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.45805794537195,27.94288580822735]}"
bbp-1229dc6e2b15af89,1001373.1,,,Ballast Point Pumping Station Rehabilitation,"The project provides for the complete rehabilitation of Ballast Point Pumping Station at 3606 Ballast Point Blvd. The project will serve to replace the existing wet-dry type pumping station with a more efficient, reliable, and serviceable submersible pumping station. It includes demolition of above ground building structure, pumps and electrical equipment and installation of new submersible pumps, piping, valves, control panel and electrical upgrades. The new electrical and control equipment will be installed aboveground and will be designed to provide protection from flooding and wind damage associated with storm events. The project also includes the installation of a backup generator to maintain station operation in the event of a power loss.",The pumping station rehabilitation project will restore the station’s reliability by replacing the aging equipment and will include improvements to reduce vulnerability to extreme weather events. The station is a critical wastewater asset and failure of the station would result in a wastewater overflow that would impact the environment and pose a public health threat to the surrounding neighborhoods.,Wastewater,2025,2022,PIPES,Yes,2024-10-01,2025-08-01,,,P5: Closeout,Closeout,1478200,,22-C-00003,WW1001373.1,,Interbay - South of Gandy,4,,https://www.tampa.gov/project/ww10013731,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001373.1.pdf,2022-08-16T14:50:33+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.50588592240558,27.889964903762863]}"
bbp-e02971df8413dd6d,1001574,,,Virginia Pumping Station Rehabilitation,"This project provides for the rehabilitation of the Virginia pumping station at 1115.5 W. Virginia Ave. The project includes replacement of pumps, pump bases, risers, rails, safety rails, and the control panel. Full rehabilitation of Pump Station. Replace of 380 LF of 6"" Cast Iron force main.",The pumping station rehabilitation project will restore the station’s reliability by replacing the aging equipment and will include improvements to reduce vulnerability to extreme weather events. The station is a critical wastewater asset and failure of the station would result in a wastewater overflow that would impact the environment and pose a public health threat to the surrounding neighborhoods.,Wastewater,2022,2022,PIPES,Yes,2022-08-01,2024-09-01,,,P5: Closeout,Closeout,1136160,,21-C-00027,WW1001574,,Riverside Heights,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001574.pdf,2022-08-16T14:51:30+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.47556262732144,27.979897673440252]}"
bbp-f03dbedee12bffc1,1001376,tpa-5f55eb57724be4,mp-77192490275c7d13,Ybor Pumping Station Standby Generator,This project provides for the installation of a standby generator at the Ybor pumping station at 1302 N 25th St.,The standby generator will provide a standby power generator system to ensure continuous use of the pumping station during a loss of power.,Wastewater,2022,2022,PIPES,Yes,2022-01-01,2024-12-01,,,P5: Closeout,Closeout,1093671,,21-C-00010,WW1001376,,Historic East Ybor and Gary,5,Ybor City 2,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001376.pdf,2022-08-16T14:51:55+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.43141388635755,27.956984403944322]}"
bbp-7f7788ab9acaf011,1002058,,,Ridgewood Collection System CIPP Lining,"This project includes the rehabilitation of approximately 4,658 linear feet of 8-inch to 15-inch diameter gravity sewers and the rehabilitation of 15 manholes.","The collection system rehabilitation project will restore aging sewer pipes and manholes to restore their service life. Project impacts will be minimal compared to a collection system “open cut” replacement project since the rehabilitation methods are trenchless. The collection system rehabilitation will reduce pipeline failures and blockages that cause wastewater overflows that impact public health, safety, and the environment. Additional project benefits include reduction in leaks that allow ground water and stormwater runoff to enter the collection system and cause wastewater overflows, reduction in energy needed to treat and convey the additional wastewater flow caused by leaking pipelines/manholes and reduction in pipeline failures that cause roadway depressions and cave ins.",Wastewater,2021,2022,PIPES,No,2021-08-31,2022-08-15,,,P5: Closeout,Closeout,390000,,21-C-00014,WW1002058,,Ridgewood Park,5,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002058.pdf,2022-08-16T14:52:17+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46963578411383,27.965097674452036]}"
