context_record_id,city_project_id,activity_id,master_project_id,project_name,description,rationale,project_type,fiscal_year,budget_year,funding_source,funded_status,planned_start_date,planned_end_date,actual_start_date,actual_end_date,project_phase,status,estimated_cost_usd,reported_actual_cost_usd,contract_number,department_project_number,activity_status,neighborhood,council_district,cra,project_document_url,project_site_url,source_record_last_edited_at_utc,source_url,observed_at_utc,geometry_geojson
bbp-96fa461356a4b0f5,1001934,tpa-60fa1e9349c074,mp-34f011fe38d212ef,Doyle Carlton Dr & Laurel St Intersection Improvements,"This project will improve pedestrian, bicycle, and motor vehicle safety and connectivity in the City’s vibrant Downtown River Arts neighborhood. The current intersection at Doyle Carlton Drive and Laurel Street was designed in the 1960s mainly for motor vehicle traffic. This outdated design conflicts with City goals to have complete streets that are safe for all types of users. <br>This project will remove the slip lanes on all approaches to tighten up the four way stop intersection. It will also include new sidewalk connections and curb ramps for the surrounding areas to access the riverwalk easier and more safely.",• Walking and biking accommodations to support all users and public spaces. <br>• New sidewalk connections and curb ramps for the surrounding areas to access the riverwalk easier and more safely. <br>• Efficient use of space provides greater opportunities for landscaping and public art. <br>• Upgraded drainage for safer roadway travel.,Transportation,2027,2022,Multiple Funding,Yes,2026-11-02,2027-05-01,,,P2: Design,30% Design Completion,575000,,,TRANS20050,,Downtown River Arts,5,Downtown Non Core,https://www.tampa.gov/project/trans20050,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001934.pdf,2022-07-06T12:20:25+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46389896185259,27.954447062788148]}"
bbp-9150e03238218b1c,1001516,tpa-fad81e27486de4,mp-0f771ace7d974ddf,Green ARTery - Segment D,This project provides for traffic calming and bike and pedestrian improvements for this segment of the Green ARTery.,Bike & Pedestrian Improvements,Transportation,2025,2022,Multiple Funding,Yes,2025-01-29,2025-08-03,,,P5: Closeout,Closeout,532787,,24-C-00012,TRANS20031,,Old Seminole Heights,6,,https://www.tampa.gov/project/trans20031,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001516.pdf,2022-07-06T12:14:18+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.44483105427605,28.016682280147894]}"
bbp-8b6cc9c7f84ea72c,1001517,tpa-7878b137016fca,mp-7ccf0e6c3039d506,Green ARTery - Segment E,This project provides for traffic calming and bike and pedestrian improvements for this segment of the Green ARTery.,Bike & Pedestrian Improvements,Transportation,2025,2022,Multiple Funding,Yes,2025-01-30,2025-10-12,,,P5: Closeout,Closeout,1188166,,24-C-00013,TRANS20032,,Lowry Park Central,6,,https://www.tampa.gov/project/trans20032,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001517.pdf,2022-07-06T12:14:34+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46634005727711,28.018069862572325]}"
bbp-1974c00272a3bff1,1001931,tpa-37222f224d7341,mp-1699bf0f3b6906fc,El Prado Blvd. Complete Streets & Sidewalks (Omar Ave to Lois Ave; Lois Ave to Bayshore Blvd),This project provides for multimodal and safety improvements including bike lanes and sidewalks.,Complete Streets & Safety Improvements,Transportation,2026,2022,Multiple Funding,Yes,2026-06-01,2027-03-10,,,P4: Construction,Construction in Progress,6095013.83,,21-D-00016,TRANS20023,,Belmar Gardens,4,,https://www.tampa.gov/project/trans20023,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001931.pdf,2022-07-06T12:19:43+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.52100875832426,27.91161974693382]}"
bbp-638f5a4f8d2c8b9e,1001540,,,Historic Hyde Park Neighborhood Resurfacing,This project provides for street resurfacing and upgrades to pedestrian curb ramps within the Historic Hyde Park neighborhood.,Neighborhood Improvements- Resurfacing,Transportation,2020,2022,Local Option Gas Tax,Yes,2019-12-01,2021-10-27,2019-12-10,,P5: Closeout,Closeout,1500000,,19-C-00010.001 WOA#1,TRANS20042,C3.1-Financial Closeout,Historic Hyde Park,4,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001540.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.48024100694309,27.929411043548292]}"
bbp-d965c975a81c6211,1002092,tpa-a2a4fd28b3d102,mp-10d31fc06c3d06e1,"Green Spine Cycle Track, Segment 3C",This project provides for a bi-directional cycle track along 15th St. from 13th Avenue to 21st Ave.,Bike & Pedestrian Improvements,Transportation,2024,2022,Multiple Funding,Yes,2024-05-30,2025-10-31,,,P5: Closeout,Closeout,2544487,,21-C-00022,TRANS20039,,VM Ybor,5,East Tampa,https://www.tampa.gov/project/trans20039,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002092.pdf,2022-07-06T12:22:23+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.44295532879121,27.967440000123435]}"
bbp-e7268f5dc633592b,1000254,,,"Green Spine Cycle Track, Segment 2B","This project provides for the extension of the Cass St separated cycle track between N. Boulevard and Doyle Carlton Dr., exempting the Cass Street Bridge.",Bike & Pedestrian Improvements,Transportation,2023,2022,Grants,Yes,2023-01-31,2023-04-28,,,P5: Closeout,Closeout,392000,,,TRANS20035,,West Riverfront Neighborhood Crimewatch Association,5,West Tampa,https://www.tampagov.net/tss-transportation/info/projects/green_spine,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000254.pdf,2022-07-06T12:07:45+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4705275433685,27.94988080868998]}"
bbp-93bb98f2cde1ba5e,1001311,,,22nd St and Palm Ave - Signal Upgrade,This project provides for replacement and upgrade of the traffic signal at the intersection of 22nd Street and Palm Avenue. The current signal is built to an obsolete standard and has passed its useful life..,End of Life Replacement,Transportation,2022,2022,Local Option Gas Tax,Yes,2022-02-15,2022-08-31,,,P5: Closeout,Closeout,500000,,,TRANS10002,,Historic Ybor,5,Ybor City 1,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001311.pdf,2022-08-31T12:14:30+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.43474636787647,27.962434757833403]}"
bbp-bbfe698e30f1a2a3,1001562,,,North Central Avenue and East Osborne Avenue Traffic Signal Upgrade,This project provides for the replacement and upgrade of the traffic signal at the intersection of North Central Avenue and East Osborne Avenue. The current signal is built to an obsolete standard and has passed its useful life.,End of Life Replacement,Transportation,2023,2022,Local Option Gas Tax,Yes,2021-11-30,2022-07-22,,,P5: Closeout,Closeout,400000,,1001562,TRANS10008,,Old Seminole Heights,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001562.pdf,2022-08-01T14:18:45+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4552453524406,27.98880378124644]}"
bbp-a3b1f830e795625d,1001509,,,Jefferson St and Twiggs St - Traffic Signal Upgrade,This project provides for the replacement and upgrade of the traffic signal at the intersection of Jefferson Street and Twiggs Street.,End of Life Replacement,Transportation,2027,2022,Yet to be Determined,No,,,,,P5: Closeout,Cancelled,500000,,,TRANS10014,,Tampa Downtown Partnership,5,Downtown Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001509.pdf,2022-07-06T12:13:16+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.45432510378036,27.950652092869]}"
bbp-323b9f506433ea1a,1001577,,,South Himes Avenue and West Euclid Avenue Signal Upgrade,This project provides for the upgrade of an existing traffic signal at South Himes Avenue and West Euclid Avenue.,End of Life Replacement,Transportation,2020,2022,Local Option Gas Tax,Yes,2019-10-01,2022-03-31,,,P5: Closeout,Closeout,175000,,1001577,TRANS10013,,FairOaks Manhattan,4,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001577.pdf,2022-04-04T12:33:54+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.50202141095907,27.90865786847832]}"
bbp-582b35e3ca95f487,1001312,,,Main Street and Rome Avenue Signal Upgrade,This project provides for replacement and upgrade of the traffic signal at the intersection of Main Street and Rome Avenue.,End of Life Replacement,Transportation,2022,2022,Local Option Gas Tax,No,2022-04-15,2023-01-31,,,P5: Closeout,Closeout,500000,,,TRANS10020,,Old West Tampa,5,West Tampa,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001312.pdf,2022-04-27T12:26:45+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.47671819268908,27.957088267329173]}"
bbp-4649f4415996c232,1001935,,,Tampa St and 7th Ave - Traffic Signal,This project provides for construction of a new traffic signal at the intersection of Tampa Street and 7th Avenue.,Safety Enhancement,Transportation,2023,2022,Multiple Funding,Yes,2022-05-01,2023-10-31,,,P5: Closeout,Closeout,500000,,,TRANS10021,,Tampa Heights,5,Tampa Heights Riverfront,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001935.pdf,2022-09-19T17:29:54+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46093000025384,27.96041999969897]}"
bbp-9d486565707f2259,1001832,tpa-ef5b25d2cd2b58,mp-ba15f7c8558faff7,21st St and Palm Ave - Traffic Signal Replacement,"This project provides for the replacement and upgrade of the traffic signal at the intersection of North 21st Street and East Palm Avenue. Additionally, ADA accommodations will be upgraded as necessary.",End of Life Replacement,Transportation,2026,2022,Local Option Gas Tax,Yes,2026-05-04,2026-09-18,,,P4: Construction,Construction in Progress,292344.18,,,TRANS10001,,Historic Ybor,5,Ybor City 1,https://www.tampa.gov/project/trans10001,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001832.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4355239464218,27.962439344346073]}"
bbp-d7a3e7dc5ecd4712,1001849,tpa-e3d74ebeda0a07,mp-5832cd9a2ac6514c,Cleveland St and Rome Ave - Traffic Signal,This project provides for intersection improvements and a new traffic signal.,Safety Enhancement,Transportation,2026,2022,Transportation Impact Fees,Yes,2026-03-01,2026-09-01,,,P4: Construction,Construction in Progress,586089.19,,,TRANS10022,,South Howard,4,,https://www.tampa.gov/project/trans10022,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001849.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.47678838753737,27.943262179224742]}"
bbp-fd58084e3fcc8973,1001848,tpa-7dac0bb1eab9db,mp-20350cb84db6c46e,Platt St and Fremont Ave - Traffic Signal,This project provides for the design of a new traffic signal based on a safety-related signal warrant study.,Safety Enhancement,Transportation,2025,2022,Transportation Impact Fees,Yes,2025-09-01,2026-08-25,,,P5: Closeout,Closeout,500602.58,,,TRANS10023,,South Howard,6,,https://www.tampa.gov/project/trans10023,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001848.pdf,2022-07-06T12:19:04+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.47885670965508,27.941871503754616]}"
bbp-f4fdf6e70b2a872a,1001578,,,North Florida Avenue and West Wilder Avenue Traffic Signal Upgrade,This project provides for the installation of a new traffic signal at North Florida Avenue and West Wilder Avenue.,Safety Enhancement,Transportation,2020,2022,Other Agencies,Yes,2019-09-30,2022-03-31,2020-07-15,,P5: Closeout,Closeout,355000,,1001578,TRANS10011,,Old Seminole Heights,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001578.pdf,2022-03-21T18:02:30+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.45941841327154,27.99233110180659]}"
bbp-548a8c2d637c3988,1000960,,,"Westshore Water Main Replacement, Phase 2","The West Shore Blvd Phase II project will improve the City of Tampa’s water distribution system by replacing the existing water mains. Approximately 18,680 Linear Feet of water mains ranging from 6 to 12 inches in diameter will be replaced and upgraded. The project area and the streets impacted by this project are shown on the attached map.","This project will replace the aging water mains in this area with new water mains, improving water pressure and water quality while reducing the number of service interruptions that might have been caused by main breaks or leakage.",Water,2021,2022,PIPES,Yes,2021-06-21,2022-08-19,,,P5: Closeout,Closeout,5787978.37,,20-C-00024,WTR-18-0004,,Sunset Park,4,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000960.pdf,2022-08-10T14:58:45+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.52367540071647,27.921071212194487]}"
bbp-93b25a4985bd992c,1002178,tpa-d04d7a186f9070,mp-56265785c1518a24,Golf View Estates Flooding Relief,"During high intensity and short duration rain events, low-lying areas in Golfview Neighborhood experience frequent and dangerous flooding due to an old and undersized drainage system. It often takes days to drain some of the flooded streets and vehicles are stranded in these flooded streets. This project consists of design and construction of a new drainage conveyance system as well as the replacement and upsizing of the existing drainage conveyance system in a highly urbanized residential neighborhood. Following the completion of Florida Department of Transportation’s drainage project on South Dale Mabry Highway between Henderson Boulevard and West Neptune Street, this project was proposed. The upsized drainage system will connect to the City’s recently completed Dale Mabry-Henderson Trunkline project at West Watrous Avenue and South Dale Mabry Highway. There will be opportunities to implement Green Infrastructure technologies and improve water quality with this project.",Flooding Relief/ Water Quality Improvement,Stormwater Engineering,2027,2022,Stormwater Improvement Fee,Yes,2027-03-01,2028-09-28,,,P2: Design,90% Design Completion,8000000,,,SW40006,,Golfview,4,,https://www.tampa.gov/project/sw40006,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002178.pdf,2022-10-06T18:32:43+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.501641758453,27.93295569056114]}"
bbp-bdb58265b41fb280,1002179,tpa-8b45dcb5c28c83,mp-bf56856019c64435,South Howard Flood Relief Project,"The South Howard Flood Relief Project involves designing and building a major stormwater conveyance system to improve drainage and reduce flooding along South Howard Avenue and adjacent neighborhoods, including Parkland Estates and Palma Ceia Pines.",Flooding Relief/ water quality improvement,Stormwater Engineering,2027,2022,Multiple Funding,Yes,2027-04-01,2030-08-31,,,P2: Design,60% Design Completion,92700000,,,SW40007,,Parkland Estates,4,,https://shstormwater.com/project-information/,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002179.pdf,2022-09-01T14:20:27+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.48748018616794,27.935719178198468]}"
bbp-1c93ba1f1bbd82e9,1002128,,,CMOB Elevator Upgrade,"This project provides for the upgrade of obsolete elevator equipment, machinery and cab upgrade that is at its end of life. This elevator is an important component of CMOB as it is the ADA access to the second floor. This upgrade will be completed in FY22 at an estimated cost of $250,000.",None,Facility Management,,2022,,No,,,,,,,,,,,,Macfarlane Park,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002128.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.49969798261328,27.966340377399177]}"
bbp-3f2fd815734449be,1001137,,,Convention Center Renovations,"This project provides for multi-year renovations at the Tampa Convention Center including but not limited to restroom, elevator, & meeting room upgrades, air handler & door replacement, painting, and other improvements as needed.","The project provides for renovations at the Tampa Convention Center including but not limited to restroom, elevator, & meeting room upgrades, air handler & door replacement, painting, and other improvements as needed.",Convention Center & Tourism,2021,2022,Tourist Development Taxes,No,2021-01-19,2023-06-09,,,P5: Closeout,Closeout,38134770.53,,19-C-00052,CCCR2019,C3.1-Financial Closeout,Tampa Downtown Partnership,5,Downtown Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001137.pdf,2022-05-31T13:53:03+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.45660314933271,27.941833278326914]}"
bbp-cd8e7ae4c46cb9c5,1001874,,,TPD Garage Restoration,"This project provides for multi-year structural improvements/restoration of the garage as identified in a condition assessment and addresses precast panel shift, slab/concrete/stucco repair, grouting, sealing, & waterproofing/traffic topping.","The project provides for structural improvements/restoration of the garage as identified in a condition assessment and addresses precast panel shift, slab/concrete/stucco repair, grouting, sealing, & waterproofing/traffic topping.",Parking,2021,2022,Parking System Revenues,No,2021-09-17,2022-04-28,,,P5: Closeout,Closeout,,,21-C-00036,,CW3.3-WOA Closed & Complete,Downtown River Arts,5,Downtown Non Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001874.pdf,2022-06-27T12:13:32+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.45766833895243,27.948079511673935]}"
bbp-2cbaef419dcc92ee,1001415,,,William F. Poe Garage Elevator Replacement & Modernization,"This project provides for replacement and modernization of the four elevators at the Poe Garage including replacement of machinery, doors, and electrical components. The interior of the elevator cabs will be modernized.",,Parking,,2022,,No,,,,,,,,,,,,Downtown River Arts,5,Downtown Non Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001415.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46210548415965,27.949654991626165]}"
bbp-04aeeee15488154a,1001113,,,Palm Avenue Garage Restoration,"This project provides for multi-year improvements & restoration to the garage as identified in a condition assessment. Improvements include slab, concrete, expansion joint, & beam repairs, bollards, sealing, grouting, & traffic topping.",,Parking,,2022,,No,,,,,,,,,,,,Historic Ybor,5,Ybor City 1,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001113.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4461006824349,27.961845703276094]}"
bbp-e3a4c91e3815a9d6,1001112,,,Rivergate Garage Restoration,"This project provides for multi-year improvements & restoration to the garage as identified in a condition assessment. Improvements include drainage, slab, concrete, expansion joint, & beam repairs, sealing, grouting, & traffic topping.","The project provides for improvements & restoration to the garage as identified in a condition assessment. Improvements include drainage, slab, concrete, expansion joint, & beam repairs, sealing, grouting.",Parking,2021,2022,Parking System Revenues,No,2021-09-17,2022-08-26,,,P5: Closeout,Closeout,,,21-C-00036,,CW3.3-WOA Closed & Complete,Downtown River Arts,5,Downtown Non Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001112.pdf,2022-07-19T12:07:03+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46029002966998,27.947496450364373]}"
bbp-f5a0586aa92e7aaa,1001111,,,Fort Brooke Garage Restoration,"This project provides for multi-year structural improvements & restoration to the garage as identified in a condition assessment. Improvements include slab, concrete, expansion joint, & beam repairs, grouting, curbing, & stair nosing.","The project provides for improvements & restoration to the garage as identified in a condition assessment. Improvements include drainage, slab, concrete, expansion joint, & beam repairs, sealing, grouting, & traffic topping.",Parking,2021,2022,Parking System Revenues,No,2021-09-17,2022-11-18,,,P5: Closeout,Closeout,,,21-C-00036,,CW3.3-WOA Closed & Complete,Tampa Downtown Partnership,5,Downtown Non Core,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001111.pdf,2022-10-04T12:20:04+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.45666100102311,27.945939741259014]}"
bbp-b435b577a0058153,1001110,,,Centro Ybor Garage Restoration,"This project provides for multi-year structural improvements & restoration to the garage as identified in a condition assessment. Improvements include slab, concrete, expansion joint, & column repairs, sealing, grouting, & traffic topping.","The project provides for improvements & restoration to the garage as identified in a condition assessment. Improvements include drainage, slab, concrete, expansion joint, & beam repairs, sealing, grouting.",Parking,2021,2022,Parking System Revenues,No,2021-09-17,2022-03-01,,,P5: Closeout,Closeout,,,21-C-00036,,CW3.3-WOA Closed & Complete,Historic Ybor,5,Ybor City 2,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001110.pdf,2022-06-27T12:11:03+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.44230068219849,27.959183604867466]}"
bbp-b44efdf6c1093be5,1001169,tpa-cde54daf8d60d7,mp-d454a1f29b183480,Hamilton Creek Water Quality Improvements,This project provides for the reconstruction of 5 water quality treatment ponds for Hamilton Creek to improve water quality. The project is part of the effort to comply with the Surface Water Improvement and Management SWIM pond permit requirements.,Water Quality,Stormwater Engineering,2024,2022,Stormwater Improvement Fee,No,2024-04-01,2024-12-01,,,P2: Design,Cancelled,500000,,,SW60010,,Lowry Park Central,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001169.pdf,2022-10-06T17:24:57+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46971463579183,28.013306407810045]}"
bbp-5e2d557cbed4ff5d,1001170,,,Rogers Park Drainage Improvements,This project provides for replacing/relocating the failed 24 inch pipe and construction of new inlets and new outfall to the river.,,Stormwater Engineering,,2022,,No,,,,,,,,,,,,Old Seminole Heights,5,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001170.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.43091821440414,28.013631052673713]}"
bbp-f8445649ba028e78,1001172,,,Poinsettia Pumping Station Rehabilitation,This project provides for the rehabilitation of the existing pump station.,,Stormwater Engineering,,2022,,No,,,,,,,,,,,,University Square,7,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001172.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.42788700045118,28.04106582093324]}"
bbp-50e20cfc3e97d977,1001066,,,Wyoming Flooding Relief Phase II,This project provides for localized flooding relief at West Wyoming Avenue and 2nd Street.,,Stormwater Engineering,,2022,,No,,,,,,,,,,,,Ballast Point,4,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001066.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4911067283948,27.882766998498937]}"
bbp-159c28bde9c4ca53,1001371,,,Anita Subdivision Flooding Phase II,This project will reestablish the relic ditches and correct the driveway culverts to improve drainage and alleviate the localized flooding in the area.,,Stormwater Engineering,,2022,,No,,,,,,,,,,,,Bayside West,4,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001371.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.52212915670263,27.90299307929812]}"
bbp-82ea753e9d60698f,1001948,,,"Delaware, Oregon, and Dakota Groundwater Diversion",This project provides for installation of underdrain systems along each side of the roadways.,,Stormwater Engineering,,2022,,No,,,,,,,,,,,,Hyde Park Preservation,4,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001948.pdf,2022-10-12T13:49:48+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.47073413941219,27.93277251707266]}"
bbp-c0ced50a57e5c0a8,1001440,,,Krental from Kennedy to Cleveland Flooding Relief,The projects consists of property acquisition and the construction of a stormwater pond.,,Stormwater Engineering,,2022,,No,,,,,,,,,,,,Swann Estates,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001440.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.51270536446371,27.943715928741405]}"
