old_activity_id,new_activity_id,cluster_basis,cluster_key
tpa-2ad4fa2641b84f,tpa-cfa1d97c9d1567,connected_exact_normalized_project_names_across_capital_layers,NEIGHBORHOOD IMPROVEMENTS WEST RIVERSIDE HEIGHTS
tpa-38cd2ca0769497,tpa-cfa1d97c9d1567,connected_exact_normalized_project_names_across_capital_layers,NEIGHBORHOOD IMPROVEMENTS WEST RIVERSIDE HEIGHTS
tpa-0419fe60ce4935,tpa-d1773208bf209c,connected_exact_normalized_project_names_across_capital_layers,JEFFERSON
tpa-1d752166ec40f0,tpa-d1773208bf209c,connected_exact_normalized_project_names_across_capital_layers,JEFFERSON
tpa-70c6e5ad349ad3,tpa-d19a0df1935586,connected_exact_normalized_project_names_across_capital_layers,14TH ST AV REPUBLICA DE CUBA 21ST AVE
tpa-c4ebf91a175222,tpa-d19a0df1935586,connected_exact_normalized_project_names_across_capital_layers,14TH ST AV REPUBLICA DE CUBA 21ST AVE
tpa-a372b021e37be9,tpa-d1d7711eb2fdf9,connected_exact_normalized_project_names_across_capital_layers,SWANN PUMPING STATION GENERATOR INSTALLATION
tpa-ca6453575c8664,tpa-d1d7711eb2fdf9,connected_exact_normalized_project_names_across_capital_layers,SWANN PUMPING STATION GENERATOR INSTALLATION
tpa-6696455d6b14e2,tpa-d2e578d5a8c434,connected_exact_normalized_project_names_across_capital_layers,GREENWAYS TRAIL GATEWAY SIGN NEW TAMPA NATURE PARK
tpa-7b15e488057d22,tpa-d2e578d5a8c434,connected_exact_normalized_project_names_across_capital_layers,GREENWAYS TRAIL GATEWAY SIGN NEW TAMPA NATURE PARK
tpa-6093a169d630b2,tpa-d3ca81ecd3bf22,connected_exact_normalized_project_names_across_capital_layers,BELMONT HEIGHTS GRAVITY SEWER CIPP LINING
tpa-9916312e4fe8d3,tpa-d3ca81ecd3bf22,connected_exact_normalized_project_names_across_capital_layers,BELMONT HEIGHTS GRAVITY SEWER CIPP LINING
tpa-01b3c942b7cfb5,tpa-d60b774d24d302,connected_exact_normalized_project_names_across_capital_layers,DOWNTOWN CORE COMPLETE STREETS FLORIDA AVE FROM CHANNELSIDE DR TO JACKSON ST
