finance_event_id,activity_id,master_project_id,city_project_id,contract_number,event_type,event_date,fiscal_year,amount_usd,amount_direction,funding_source,resolution_number,source_document,source_url,observed_at_utc,source_record_last_edited_at_utc,evidence_strength,is_inferred,interpretation_warning
fin-7e1d77b1a05f7760,tpa-a852e71c9df8b3,mp-3d4fbd1e5b7cf7e9,1001588,,funded_status_reported,,2024,,not_applicable,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50003,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-12T13:49:07+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-476cd4bab9a88c74,,,1001420,,capital_estimate_reported,,2024,2000000,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001420.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T14:22:22+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-255be5dd519d3547,,,1001420,,funded_status_reported,,2024,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001420.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T14:22:22+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-b97d38a8548640c9,tpa-5a2f97b3a412d4,mp-5db1f3cd4dba79f8,1001171,,capital_estimate_reported,,2028,6800000,reported_level,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50006,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T14:30:09+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-140cd34dc3e30780,tpa-5a2f97b3a412d4,mp-5db1f3cd4dba79f8,1001171,,funded_status_reported,,2028,,not_applicable,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50006,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T14:30:09+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-64f9b3bb1c235426,tpa-55828ee72706f4,mp-de15e43fa74c3463,1001527,,capital_estimate_reported,,2027,1100000,reported_level,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50007,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:34:17+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-a2e0ef020e819cf6,tpa-55828ee72706f4,mp-de15e43fa74c3463,1001527,,funded_status_reported,,2027,,not_applicable,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50007,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:34:17+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-ee202815bfa11005,,,1001587,21-C-00017,capital_estimate_reported,,2022,1000000,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001587.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:00:53+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-bf14b3b79385a64b,,,1001587,21-C-00017,funded_status_reported,,2022,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001587.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:00:53+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-ad3234ec5485a483,,,1001951,ST-21-395-0012,capital_estimate_reported,,2021,325000,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001951.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-07-01T12:32:14+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-06964247d3247e89,,,1001951,ST-21-395-0012,funded_status_reported,,2021,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001951.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-07-01T12:32:14+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-e6b39479a59e4a96,,,1001949,,capital_estimate_reported,,On Hold,500000,reported_level,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50025,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:24:35+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-4f8ffde42a50c350,,,1001949,,funded_status_reported,,On Hold,,not_applicable,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50025,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:24:35+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-fa3a916ba55602a6,tpa-d05a3db30262e4,mp-f2694c4bb1744eab,1000750,19-C-00059,capital_estimate_reported,,2023,55604452,reported_level,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw40004,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:09:13+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-17bdb9b44f42681b,tpa-d05a3db30262e4,mp-f2694c4bb1744eab,1000750,19-C-00059,funded_status_reported,,2023,,not_applicable,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw40004,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:09:13+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-bb912cd390177bf3,,,1000962,20-C-00040,capital_estimate_reported,,2021,3960080.69,reported_level,PIPES,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000962.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-05-02T13:09:32+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
