record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-5a592bcae0df3c0a,CAPITAL_IMPROVEMENTS|NATIVE|TBD,src-0b5ce97b1256763f,tpa-c16d6435499fba,capital_improvements,TBD,2027-10-01,2027-10,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Live Oak Square Collection System Rehabilitation,Wastewater,,Woodland Terrace,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fTBD.pdf
rec-e677140d3702ee80,CAPITAL_LOCATIONS_LINE|GLOBALID|{76ACA4BE-E645-4345-BAB4-CCC190E40A44},src-e824392037730a9a,tpa-c16d6435499fba,capital_locations_line,,2027-10-01,2027-10,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Live Oak Square Collection System Rehabilitation,Wastewater,,Live Oaks Square,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/1
rec-63bf2e575a4b69d2,CAPITAL_LOCATIONS_POINT|GLOBALID|{5FF3FBF5-8688-4CDA-B8AB-BA9F8E5F400A},src-177268b28e725f22,tpa-fc86c7cfc5c559,capital_locations_point,,2027-10-01,2027-10,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,18th St Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
