record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-3310ca60127fd6b7,CAPITAL_LOCATIONS_POINT|NATIVE|1001810.10,src-d018489f2ab49914,tpa-6136a0a53ba2c2,capital_locations_point,1001810.10,2027-09-01,2027-09,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Hunters Green II Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-4f6be1ec3db93489,CAPITAL_LOCATIONS_POINT|NATIVE|1001810.14,src-3a632768c13d382b,tpa-aa75cdf7422756,capital_locations_point,1001810.14,2027-09-01,2027-09,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Palm Springs Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-5b40d19f8499b108,CAPITAL_LOCATIONS_POINT|NATIVE|1001810.13,src-38cdb587dfef43b0,tpa-82b9a79b60113f,capital_locations_point,1001810.13,2027-09-01,2027-09,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Oak Haven Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-b2a9e4abb96a7334,CAPITAL_LOCATIONS_POINT|NATIVE|1001810.8,src-0b1573ef7ed389d4,tpa-c44a24d11ff57d,capital_locations_point,1001810.8,2027-09-01,2027-09,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Cory Lakes III Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-d2429816e63d2af8,CAPITAL_LOCATIONS_POINT|NATIVE|1001810.11,src-511b6b2ade70371c,tpa-8b2aad4d0c7226,capital_locations_point,1001810.11,2027-09-01,2027-09,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Longwater Run Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-f31d4f6c2003b02e,CAPITAL_LOCATIONS_POINT|NATIVE|1001810.9,src-ed8248850e7fcbf5,tpa-4357f4b097eefd,capital_locations_point,1001810.9,2027-09-01,2027-09,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Humphrey Pumping Station Rehabilitation,Wastewater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
