record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-3a6ffee99556eb9e,CAPITAL_IMPROVEMENTS|NATIVE|1002293,src-8edfe6c57bcdf27e,tpa-f05d147a1350ac,capital_improvements,1002293,2022-06-14,2022-06,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Planning,Gandy Park South and A. J. Palonis Park Improvements,Parks & Recreation,,Gandy / Sun Bay South,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002293.pdf
rec-042c716096c195da,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0494292,src-73a9e2a140a20631,tpa-e1063ad5191fac,construction_inspections,BLD-22-0494292,2022-06-28,2022-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REISSUE - FEMA: NEW SFR 3STORIES,Residential New Construction and Additions (1 and 2 Family),5130 W Longfellow Ave,Sunset Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=01TJR&agencyCode=TAMPA
rec-415233abe0747bb9,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0494441,src-c7bb2616151f14d8,tpa-e0bb0c70a63d0f,construction_inspections,BLD-22-0494441,2022-06-30,2022-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,Facilitated Project | PP: REACTIVATED - Site & Fdn: Building 1 & Master Site: Permit Extended,Commercial New Construction and Additions,1000 W Fig St,University of Tampa,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=01UW4&agencyCode=TAMPA
rec-433245064d1c49b1,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0493780,src-1a18532ca369d5ee,tpa-dcea348c83d11d,construction_inspections,BLD-22-0493780,2022-06-07,2022-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Re-opened Interior/Exterior Alteration,Residential Building Alterations (Renovations),2010 E Powhatan Ave,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=00VEY&agencyCode=TAMPA
rec-477bf2374eb85187,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0494867,src-94fa85d20b71c12c,tpa-2686cbdc05fc88,construction_inspections,BLD-22-0494867,2022-06-18,2022-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,PP: Re-opened New 1-story SFR,Residential New Construction and Additions (1 and 2 Family),7812 N Mulberry St,Sulphur Springs,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=01YXT&agencyCode=TAMPA
rec-ac69aac24e64c3e1,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0493864,src-0c9f839fac492275,tpa-a991abf7a16711,construction_inspections,BLD-22-0493864,2022-06-10,2022-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,THRESHOLD: Commercial alteration - all levels,Commercial Building Alterations (Renovations),2907 W Bay To Bay Blvd,Bayshore Gardens,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=00W72&agencyCode=TAMPA
rec-c34ac7039888a5c0,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0493865,src-347d5d507bd89e0e,tpa-31c25730cd0704,construction_inspections,BLD-22-0493865,2022-06-10,2022-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,09-02-25 KPI | REISSUE - THRESHOLD: Commercial alteration - all levles,Commercial Building Alterations (Renovations),2909 W Bay To Bay Blvd,Bayshore Gardens,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=00W7P&agencyCode=TAMPA
rec-14bbd55b95ea1fb8,SINGLE_FAMILY_PERMITS|NATIVE|BLD-22-0491080,src-e449be65960e12f7,tpa-8cd9d2f19711fc,single_family_permits,BLD-22-0491080,2022-06-10,2022-06,permit_issued,TASK_STATUS_DATE,source_reported_event,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision | Issued,Residential New Construction and Additions (1 and 2 Family),Residential | New Construction and Additions | Building,3617 E Tampa Cir,Virginia Park,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/32
