record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-8d8867454f9d74f2,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20134,src-2ca724286e06fa4e,tpa-71346c0bba0c2c,capital_locations_line,TRANS20134,2021-10-14,2021-10,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Brorein St Bridge (#105501) Phase 1 Structural Rehabilitation,Transportation,,Tampa Downtown Partnership,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000248.pdf
rec-a75b7b5e1e2c7a32,CAPITAL_LOCATIONS_POINT|NATIVE|1001865,src-3f8ddb17dd0dc745,tpa-9e8aacbaee1dd4,capital_locations_point,1001865,2021-10-31,2021-10,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Closeout,"Howard F. Curren AWTP Master Plan Improvements, Phase 1, Design-build GMP No. 1",Wastewater,,Port of Tampa,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-35bcab228f6eba52,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0487693,src-64b1fdc48df1df9b,tpa-673925f4ca8a17,construction_inspections,BLD-22-0487693,2021-10-19,2021-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,bathroom remodel,Residential Building Alterations (Renovations),3506 W McElroy Ave,Interbay - South of Gandy,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02LM4&agencyCode=TAMPA
rec-56f3aeb6e52e31e3,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0487666,src-31e6a306b0a18013,tpa-c3b57889b8699a,construction_inspections,BLD-22-0487666,2021-10-18,2021-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,REISSUE - Non-structural remodel,Residential Building Alterations (Renovations),2918 E 23rd Ave,Jackson Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02LDP&agencyCode=TAMPA
rec-588bc876e147bfa9,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0487802,src-68acef4867bf316f,tpa-b87d3c7dada73b,construction_inspections,BLD-22-0487802,2021-10-22,2021-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,comm remodel of hair salon,Commercial Building Alterations (Renovations),720 S Village Cir,Hyde Park Village,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02MDX&agencyCode=TAMPA
rec-b1d7a5a23816066e,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-22-0488024,src-5accb9646a3835a4,tpa-c5cd07c38b1571,construction_inspections,BLD-22-0488024,2021-10-30,2021-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,OWNER - New sfr,Residential New Construction and Additions (1 and 2 Family),6403 N Melville Ave,Riverbend,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=02O1G&agencyCode=TAMPA
