record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-7e482ed0f2a0094c,CAPITAL_IMPROVEMENTS|NATIVE|1000446,src-11ee7c8e156d45ba,tpa-2ed8da642d70ff,capital_improvements,1000446,2021-03-03,2021-03,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Cass St Bridge (#105502) Electrical/Mechanical Rehabilitation,Transportation,,Downtown River Arts,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000446.pdf
rec-82d0559e4983d841,CAPITAL_IMPROVEMENTS|NATIVE|1000248,src-373ed8f29ebe7e49,tpa-71346c0bba0c2c,capital_improvements,1000248,2021-03-03,2021-03,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Brorein St Bridge (#105501) Phase 1 Structural Rehabilitation,Transportation,,Tampa Downtown Partnership,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000248.pdf
rec-e7361e15031843cb,CAPITAL_IMPROVEMENTS|NATIVE|TRANS20048,src-6471d36c29ee45e2,tpa-c794ce8bbe5cd2,capital_improvements,TRANS20048,2021-03-03,2021-03,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,30% Design Completion,InVision Streetcar (Design Only),Transportation,,Downtown River Arts,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fTRANS20048.pdf
rec-2616d6850c2d871f,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20141,src-9de5aaa5ff31de4c,tpa-9409ac3893adef,capital_locations_line,TRANS20141,2021-03-09,2021-03,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Bermuda Blvd Complete Streets and Seawall (Design),Transportation,,Palmetto Beach Community Association,https://www.tampa.gov/project/trans20141
rec-538b601319a30068,CAPITAL_LOCATIONS_POINT|NATIVE|WTR20004,src-49206675ee0c8ac6,tpa-271c511449f1e3,capital_locations_point,WTR20004,2021-03-01,2021-03,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Closeout,DLT WTF Building Improvements,Water,,Old Seminole Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR20004
rec-0f0c3aef84b45412,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0482451,src-ae9242520287ef9b,tpa-e50fea9487c27d,construction_inspections,BLD-21-0482451,2021-03-29,2021-03,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,New sfr,Residential New Construction and Additions (1 and 2 Family),5418 Lykes Ln,Ballast Point,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=00FWY&agencyCode=TAMPA
rec-19b181a55f3ff9be,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0482466,src-0fbb20f6f1e049b2,tpa-dfcfe10628678e,construction_inspections,BLD-21-0482466,2021-03-30,2021-03,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,0,Issued,New 2 story Office Building,Commercial New Construction and Additions,1112 W Waters Ave,Lowry Park Central,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=00G2B&agencyCode=TAMPA
rec-1d2d3c6235b22bf2,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0482533,src-743672acca82543b,tpa-c61738742343c8,construction_inspections,BLD-21-0482533,2021-03-31,2021-03,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,REISSUED: Addition & Reno + Porch Addition,Residential New Construction and Additions (1 and 2 Family),4301 N Branch Ave,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=00GLN&agencyCode=TAMPA
rec-237f65f1a503daae,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0482360,src-c699a555a7c7aacb,tpa-7e492b20c6441e,construction_inspections,BLD-21-0482360,2021-03-24,2021-03,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,REISSUE ----Convert garage to living space,Residential New Construction and Additions (1 and 2 Family),2920 W Crest Ave,Plaza Terrace,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=00F45&agencyCode=TAMPA
rec-59838cdb83ddfc54,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0482224,src-0c83d6c22f8e9b28,tpa-e22d72436a5fc3,construction_inspections,BLD-21-0482224,2021-03-19,2021-03,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,REISSUE - Screened accessory structure,Residential New Construction and Additions (1 and 2 Family),2017 E Hanna Ave,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=00E5Y&agencyCode=TAMPA
