record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-05387ce7a606be60,CAPITAL_IMPROVEMENTS|NATIVE|1002164,src-b3c4e1c49315617a,tpa-ae07f4ea146cd3,capital_improvements,1002164,2025-02-24,2025-02,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,90% Design Completion,"CRA-DP Landscape, Streetscape, and Safety Audit Improvement",Parks & Recreation,,Drew Park,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002164.pdf
rec-e1181993380bc61d,CAPITAL_IMPROVEMENTS|GLOBALID|{1835E86F-0335-44E3-8803-54E051EC52E9},src-7802257b9057e0bb,tpa-2695ad6313af38,capital_improvements,,2025-02-05,2025-02,source_record_created,created_date,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,60% Design Completion,Cass St Drawbridge Improvements,Transportation,,Julian B Lane Riverfront Park,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f
rec-e123571bb73fea2e,CAPITAL_IMPROVEMENTS|NATIVE|1001531,src-9685dab8717bfaa0,tpa-86ee52822415f1,capital_improvements,1001531,2025-02-01,2025-02,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Floribraska Ave (Tampa St to 9th St),Transportation,,Tampa Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001531.pdf
rec-ee18932b2a051a5d,CAPITAL_IMPROVEMENTS|NATIVE|1001810.23,src-0b8896a6d0987ea5,tpa-5b6b366122c269,capital_improvements,1001810.23,2025-02-01,2025-02,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Construction in Progress,Oregon Pumping Station Rehabilitation (Year 2),Wastewater,,West River,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001810.23.pdf
rec-b8c62c2bf925734b,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20187,src-d2a5fb7cafc135a2,tpa-2695ad6313af38,capital_locations_line,TRANS20187,2025-02-05,2025-02,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,60% Design Completion,Cass St Drawbridge Improvements,Transportation,,"Downtown River Arts Neighborhood Association, Julian B Lane Riverfront Park",https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/1
rec-fda152d41c710d5a,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20026,src-02647614a600f4b2,tpa-86ee52822415f1,capital_locations_line,TRANS20026,2025-02-01,2025-02,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Floribraska Ave (Tampa St to 9th St),Transportation,,Tampa Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001531.pdf
rec-06c76bf10a108503,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-25-0444340,src-bbe957743f715674,tpa-2c7fce8d93727e,construction_inspections,BDE-25-0444340,2025-02-18,2025-02,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Reissue: Demo of SFR,Residential Demolition Permit,631 Jamaica Ave,Davis Islands,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=009ZL&agencyCode=TAMPA
rec-149fd6cbf9640bb6,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0514370,src-124194a840748dfa,tpa-3274571af95bf9,construction_inspections,BLD-25-0514370,2025-02-24,2025-02,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,** Storm Damage ** FEMA - Interior Alteration,Residential Building Alterations (Renovations),626 Columbia Dr,Davis Islands,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=00BC0&agencyCode=TAMPA
rec-2592176a3e5723e4,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0514202,src-0c4b4b93d041cf5e,tpa-c0a1f06e72faab,construction_inspections,BLD-25-0514202,2025-02-07,2025-02,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,FEMA - Repair Rotten Framing - Building 3,Commercial Building Alterations (Renovations),6601 S West Shore Blvd,"Port Tampa City, Inc. Civic Association",https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=008NH&agencyCode=TAMPA
rec-52da1d13d0b8503c,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0514269,src-23127ac7e80e5b1d,tpa-a711b173a0e4b2,construction_inspections,BLD-25-0514269,2025-02-17,2025-02,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,**OWNER**Interior Remodel,Residential Building Alterations (Renovations),1403 E Comanche Ave,Hampton Terrace Community Association (HTCA),https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=009TC&agencyCode=TAMPA
