record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-2736542d9ecae378,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-07-0296593|GLOBALID|{82596D8E-AA98-4A6C-BD74-D2FF9599FD80},,,construction_inspections,BLD-07-0296593,2006-11-21,2006-11,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-09-01,2026-09,2026-09-01,2026-09,2026-09-01,2026-09,1,1,Revision,,Commercial Building Alterations (Renovations),4028 Nebraska,Southeast Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HIS&capID2=00000&capID3=0BANW&agencyCode=TAMPA
rec-3a438ddfed841441,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-07-0296593|GLOBALID|{EA51B5E2-64C4-45C5-9FD6-F058F4983286},src-a2b330d15146b080,tpa-0d075591108454,construction_inspections,BLD-07-0296593,2006-11-21,2006-11,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,0,Revision,,Commercial Building Alterations (Renovations),4028 N NEBRASKA Ave,Southeast Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HIS&capID2=00000&capID3=0BANW&agencyCode=TAMPA
rec-43ba6de54ff8ee35,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-07-0296593|GLOBALID|{2BCE0F4C-17B4-44B4-8D33-B3B3822C45FD},,,construction_inspections,BLD-07-0296593,2006-11-21,2006-11,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-09-01,2026-09,2026-09-01,2026-09,2026-09-01,2026-09,1,1,Revision,,Commercial Building Alterations (Renovations),4028 N Nebraska Ave,Southeast Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HIS&capID2=00000&capID3=0BANW&agencyCode=TAMPA
rec-84e54c93052a63a1,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-07-0296593|GLOBALID|{4297E9AE-D695-4FEF-B1EB-528296B70FD1},,,construction_inspections,BLD-07-0296593,2006-11-21,2006-11,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-09-01,2026-09,2026-09-01,2026-09,2026-09-01,2026-09,1,1,Revision,,Commercial Building Alterations (Renovations),4028 N NEBRASKA Ave,Southeast Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HIS&capID2=00000&capID3=0BANW&agencyCode=TAMPA
rec-e07edf973c0dfc86,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-07-0296593|GLOBALID|{FCA921BB-1232-4150-918A-E976F73EDF1E},src-8553c1f019614d8c,tpa-0d075591108454,construction_inspections,BLD-07-0296593,2006-11-21,2006-11,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,0,Revision,,Commercial Building Alterations (Renovations),4028 Nebraska,Southeast Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HIS&capID2=00000&capID3=0BANW&agencyCode=TAMPA
rec-fe0e5acbb0b98341,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-07-0296593|GLOBALID|{B00141E0-7E0E-493F-8AC9-0FD325768280},src-b0cd4eaabb35ecb6,tpa-0d075591108454,construction_inspections,BLD-07-0296593,2006-11-21,2006-11,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,0,Revision,,Commercial Building Alterations (Renovations),4028 N Nebraska Ave,Southeast Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HIS&capID2=00000&capID3=0BANW&agencyCode=TAMPA
