record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-9cc205d07fc5d611,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW50006,src-bf5829c148b55903,tpa-5a2f97b3a412d4,capital_locations_polygon,SW50006,2020-12-30,2020-12,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Planning,Lamb Canal Rehabilitation & Flood Relief,Stormwater,,Sunset Park,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001171.pdf
rec-9e3c78301550d27e,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0479981,src-c07144de604c7211,tpa-66dcabfe2e5252,construction_inspections,BLD-21-0479981,2020-12-15,2020-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,Re-issued REISSUE - New sfr,Residential New Construction and Additions (1 and 2 Family),9609 N 13th St,North Tampa Community,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=02MEA&agencyCode=TAMPA
rec-a1bfb4612d5af7d8,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0479743,src-415cbca71336494c,tpa-58d11ea5c5f27a,construction_inspections,BLD-21-0479743,2020-12-02,2020-12,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Facilitated Project | FEMA:Private Provider:ONE ASHLEY: 39-story Mixed Use Tower,Commercial New Construction and Additions,103 S Ashley Dr,Tampa Downtown Partnership,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=02KWD&agencyCode=TAMPA
