record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-4c81e07cc5018143,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-19-0466148,src-41543abbf80e31dd,tpa-99244c445a7986,construction_inspections,BLD-19-0466148,2019-04-03,2019-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,Remodel - Re-roof,Residential Building Alterations (Renovations),4418 Atwood Dr,Northview Hills,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00ICI&agencyCode=TAMPA
rec-73631a0b64f7b4e2,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-19-0466585,src-4d9d815c3ad38c66,tpa-1235423e750f82,construction_inspections,BLD-19-0466585,2019-04-24,2019-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REISSUED - Exterior Renovation,Commercial Building Alterations (Renovations),6310 N Florida Ave,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00LZX&agencyCode=TAMPA
rec-8ce3f20a42e65156,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-19-0466490,src-ce4875bfd93fd833,tpa-007a02715cb1b8,construction_inspections,BLD-19-0466490,2019-04-11,2019-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,Add Bath/Closet to existing space,Residential Building Alterations (Renovations),1709 Hillside Dr,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00L2T&agencyCode=TAMPA
rec-8decb1169334e4c9,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-19-0439891,src-e3b686a5e6f84952,tpa-b4ad70f73e1d4b,construction_inspections,BDE-19-0439891,2019-04-24,2019-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Demolition of extension building,Commercial Demolition Permit,2808 N 16th St,North Ybor,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00M0I&agencyCode=TAMPA
rec-aec949716be2499f,CONSTRUCTION_INSPECTIONS|NATIVE|BDE-19-0439904,src-cbebb821312e2f46,tpa-1c60135caff5ef,construction_inspections,BDE-19-0439904,2019-04-23,2019-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Demo SFR,Residential Demolition Permit,4310 W North A St,Westshore Palms,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00N0B&agencyCode=TAMPA
rec-27cd2c0e07e6cd9d,SINGLE_FAMILY_PERMITS|NATIVE|BLD-19-0465776,src-e7853741e1218ac3,tpa-c023f0b7ac9234,single_family_permits,BLD-19-0465776,2019-04-03,2019-04,permit_issued,TASK_STATUS_DATE,source_reported_event,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued | Issued,Residential New Construction and Additions,Residential | New Construction and Additions | Building,3120 W San Jose St,Palma Ceia,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/32
