record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-07768360af05ebb9,CAPITAL_IMPROVEMENTS|NATIVE|1002809,src-c10b93fba8539c83,tpa-52fa8446b8a3cd,capital_improvements,1002809,2025-06-10,2025-06,source_record_created,created_date,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,30% Design Completion,N Boulevard Resurfacing from W Green St to W Dr MLK Blvd,Transportation,,Riverside Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002809.pdf
rec-47209801c7b38772,CAPITAL_IMPROVEMENTS|NATIVE|1002811|GLOBALID|{E01F483B-32BD-4288-9830-B51CB53278AF},src-6d4af0bd8ea89345,tpa-f51432f4534560,capital_improvements,1002811,2025-06-10,2025-06,source_record_created,created_date,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Project Startup,N 15th Street ADA Improvements from E 109th Ave to E Fowler Ave,Transportation,,University Square,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002811.pdf
rec-8487ba49ede38c07,CAPITAL_IMPROVEMENTS|GLOBALID|{C2DEDB3E-4261-4A1D-AE43-ECC400771825},src-17e69faf66e2c2dd,tpa-28a7af3a4fd198,capital_improvements,,2025-06-18,2025-06,source_record_created,created_date,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Planning,Pathways to Palmetto (Design-Build),Transportation,,Palmetto Beach,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f
rec-a1a4b97595f99142,CAPITAL_IMPROVEMENTS|NATIVE|1002811|GLOBALID|{71FA6864-5962-41A0-A772-DB90D24AA7E0},src-4abfda4ca0a78474,tpa-0cb5c8fa34eba7,capital_improvements,1002811,2025-06-09,2025-06,source_record_created,created_date,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,60% Design Completion,S Macdill Ave Resurfacing from W Gandy Blvd to W Bay to Bay Blvd,Transportation,,Bayshore Beautiful,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002811.pdf
rec-f9f49f42626e819b,CAPITAL_IMPROVEMENTS|NATIVE|1001594,src-7f0584282500f5c3,tpa-e9b7d55940a116,capital_improvements,1001594,2025-06-01,2025-06,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Sidewalks- Hubert St (W Cypress to W Main St),Transportation,,Carver City Lincoln Gardens,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001594.pdf
rec-0669febc63af68b8,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20044,src-2031577b07d145d0,tpa-e9b7d55940a116,capital_locations_line,TRANS20044,2025-06-01,2025-06,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Sidewalks- Hubert St (W Cypress to W Main St),Transportation,,Carver City / Lincoln Gardens,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001594
rec-95e0ba83a6277b23,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20192,src-5e7e56d8fe16211f,tpa-0cb5c8fa34eba7,capital_locations_line,TRANS20192,2025-06-09,2025-06,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,60% Design Completion,S Macdill Ave Resurfacing from W Gandy Blvd to W Bay to Bay Blvd,Transportation,,"Bayshore Beautiful, Palma Ceia",https://www.tampa.gov/project/trans20192
rec-b728a439e2b9a082,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20197,src-a2e9f0728496324f,tpa-28a7af3a4fd198,capital_locations_line,TRANS20197,2025-06-18,2025-06,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Planning,Pathways to Palmetto (Design-Build),Transportation,,Palmetto Beach Community Association,https://www.tampa.gov/project/trans20197
rec-fad4168b4dde331e,CAPITAL_LOCATIONS_LINE|NATIVE|TRANS20196,src-46a3ddeaef72dc0e,tpa-64dee70099c8c5,capital_locations_line,TRANS20196,2025-06-10,2025-06,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,30% Design Completion,N Boulevard from W Green St to W Dr MLK Blvd,Transportation,,"Tampa Heights, Riverside Heights, Ridgewood Park",https://www.tampa.gov/project/trans20196
rec-0ac215aec1c0becd,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0516564,src-d28e89c70c417d01,tpa-5e5b275fabebe1,construction_inspections,BLD-25-0516564,2025-06-09,2025-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,FEMA: Lift house above flood elevation,Residential Building Alterations (Renovations),2625 N Dundee St,Sunset Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=00YQI&agencyCode=TAMPA
