record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-42a88ce6b66f41d8,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-18-0459248,src-c8d0f52bedac5bd8,tpa-e972707b6de629,construction_inspections,BLD-18-0459248,2018-05-10,2018-05,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Re-issued Bathroom Remodel,Residential Building Alterations (Renovations),4108 W Santiago St,Virginia Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=18CAP&capID2=00000&capID3=00M1F&agencyCode=TAMPA
rec-75c83e7c0ac20566,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-18-0459545,src-b3c3ba2d3ff31d59,tpa-f31de44644ca49,construction_inspections,BLD-18-0459545,2018-05-23,2018-05,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,Reissued---New sfr,Residential New Construction and Additions,2112 E Annona Ave,University Square,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=18CAP&capID2=00000&capID3=00OTG&agencyCode=TAMPA
rec-850735880cf05391,SINGLE_FAMILY_PERMITS|NATIVE|BLD-18-0458507,src-654ff6c8fd13bcb1,tpa-2a128e6793e09b,single_family_permits,BLD-18-0458507,2018-05-23,2018-05,permit_issued,TASK_STATUS_DATE,source_reported_event,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued | Issued,Residential New Construction and Additions,Residential | New Construction and Additions | Building,3623 E Henry Ave,Live Oaks Square,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/32
