record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-80801c332f91af86,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0475765,src-98add812540e15ac,tpa-7b14e2b39dfecf,construction_inspections,BLD-20-0475765,2020-06-29,2020-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Re-opened New Townhome - Lot 127- VESTED UNDER 2006 SCHOOL IMPACT FEES,Residential New Construction and Additions (1 and 2 Family),4751 Legacy Park Dr,Gandy / Sun Bay South,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=01MXX&agencyCode=TAMPA
rec-ae8c8cd9f4fe2696,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0475763,src-c7ff9b64383a0aa4,tpa-1d633b31035617,construction_inspections,BLD-20-0475763,2020-06-29,2020-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Re-opened New Townhouse - Lot 117- VESTED UNDER 2006 SCHOOL IMPACT FEES,Residential New Construction and Additions (1 and 2 Family),4722 Legacy Park Dr,Gandy / Sun Bay South,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=01MXT&agencyCode=TAMPA
rec-bea92512f81be240,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0475987,src-4a79d1516203a983,tpa-c0359283d623dd,construction_inspections,BLD-20-0475987,2020-06-29,2020-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Re-issued Owner: detached garage,Residential New Construction and Additions (1 and 2 Family),6230 S Kelly Rd,Ballast Point,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=01OO3&agencyCode=TAMPA
rec-de9532d7b365b1e7,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0475759,src-23a04dd742c05ed3,tpa-7d97171cacc169,construction_inspections,BLD-20-0475759,2020-06-29,2020-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Re-opened New Townhouse - Lot 115- VESTED UNDER 2006 SCHOOL IMPACT FEES,Residential New Construction and Additions (1 and 2 Family),4718 Legacy Park Dr,Gandy / Sun Bay South,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=01MXG&agencyCode=TAMPA
