record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-01be65e257dd55d7,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0474042,src-d80d51c4c972bd9e,tpa-f4224964a17a12,construction_inspections,BLD-20-0474042,2020-04-15,2020-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Reissue: Owner-Alterations,Residential Building Alterations (Renovations),7901 N Edison Ave,Lowry Park Central,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=00HKB&agencyCode=TAMPA
rec-3932ae7eb7b7301a,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0473908,src-e65fc6ddae905a4b,tpa-be1d2e2685303c,construction_inspections,BLD-20-0473908,2020-04-08,2020-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,Two Story Addition,Residential New Construction and Additions (1 and 2 Family),901 S Willow Ave,Hyde Park Preservation,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=00GTL&agencyCode=TAMPA
rec-db7dce6d58307fd5,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0474583,src-9783a64ade2fb117,tpa-39ebc2d5151e5f,construction_inspections,BLD-20-0474583,2020-04-21,2020-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,Re-issued OWNER: Enclose Carport,Residential New Construction and Additions (1 and 2 Family),7102 N Coarsey Dr,Armenia Gardens Estates,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=00L2V&agencyCode=TAMPA
