record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-7044c08b7bdd109a,CAPITAL_IMPROVEMENTS|NATIVE|1001937,src-680c47fbcab13b20,tpa-8401b9481d33dc,capital_improvements,1001937,2024-04-15,2024-04,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Construction in Progress | C2.1-Construction,East Tampa Recreational Complex,Parks & Recreation,,The Legacy of Fair Oaks,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001937.pdf
rec-679d3833d1ec7d96,CAPITAL_LOCATIONS_POLYGON|NATIVE|SW50020,src-c8b4fe52e9809eec,tpa-a68014619dcb8d,capital_locations_polygon,SW50020,2024-04-15,2024-04,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Closeout,NTCB 99TH Ave-Pond Expansion,Stormwater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/2
rec-ddbc00ffe757eea6,CAPITAL_LOCATIONS_POLYGON|NATIVE|1001169,src-b30b6985f81a7e33,tpa-cde54daf8d60d7,capital_locations_polygon,1001169,2024-04-01,2024-04,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Hamilton Creek Water Quality Improvements,Stormwater,,,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/2
rec-eaf0a2f25b985f2b,CAPITAL_LOCATIONS_POLYGON|NATIVE|P&R22022,src-ec3a22f29e5d0e57,tpa-8401b9481d33dc,capital_locations_polygon,P&R22022,2024-04-15,2024-04,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Construction in Progress | C2.1-Construction,East Tampa Recreational Complex,Parks and Recreation,,The Legacy of Fair Oaks,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001937.pdf
rec-0026b624dce6c8e0,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0508309,src-8a1fe06208e15e3d,tpa-40020e249aec33,construction_inspections,BLD-24-0508309,2024-04-18,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,07-29-25 KPI | **Change of Use**New Specialty Retail Shell Building-Nebraska Crossings,Commercial New Construction and Additions,5511 N Nebraska Ave,Hampton Terrace Community Association (HTCA),https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00NAL&agencyCode=TAMPA
rec-0f03fecc2660710c,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0508170,src-b9b663c6cfbff8d5,tpa-4d8f5eaa4d6872,construction_inspections,BLD-24-0508170,2024-04-12,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,New 2-Sty Townhouse Unit C,Residential New Construction and Additions (1 and 2 Family),2525 Bayshore Blvd,Bayshore Gardens,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00LP3&agencyCode=TAMPA
rec-10cfc421e8c69f5c,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0508072,src-d9c918145ebbed2e,tpa-99954025dabf54,construction_inspections,BLD-24-0508072,2024-04-08,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,Interior/Exterior remodel - NOHO Lofts,Commercial Building Alterations (Renovations),401 N Rome Ave,North Hyde Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00KK9&agencyCode=TAMPA
rec-127f63c3d3ae825b,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0508253,src-dc471d8a3f73cdf3,tpa-82614f99a1606c,construction_inspections,BLD-24-0508253,2024-04-16,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,REISSUE - Remodel and Addition of Roof Deck CMP-26-0000913,Residential New Construction and Additions (1 and 2 Family),3105 W San Rafael St,Golfview,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00MK9&agencyCode=TAMPA
rec-1e35bcc805f456ec,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0507910,src-e0109e7681d1fa13,tpa-e2fbd1ce0acb9a,construction_inspections,BLD-24-0507910,2024-04-02,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,PP: New 3 Story: Fee Simple Townhouse Unit B,Residential New Construction and Additions (1 and 2 Family),107 E Euclid Ave,Tampa Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00J7N&agencyCode=TAMPA
rec-280f35a1bb7862ea,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0508208,src-a5d1496988545e29,tpa-c8bd1ede6078ca,construction_inspections,BLD-24-0508208,2024-04-13,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,PRIVATE PROVIDER: NEW SFR,Residential New Construction and Additions (1 and 2 Family),928 E 11th Ave,Historic Ybor,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00M06&agencyCode=TAMPA
rec-2ac3a8e5bd5a27f9,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0508217,src-f7937e87c190f79e,tpa-c57ea4b6cd1ba7,construction_inspections,BLD-24-0508217,2024-04-15,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,FEMA:PRIVATE PROVIDER:NEW SFR,Residential New Construction and Additions (1 and 2 Family),5117 W Poe Ave,Sunset Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00M59&agencyCode=TAMPA
rec-4d499f62681ec088,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0508368,src-eff727be18300c7a,tpa-fdf6bde6fc0a36,construction_inspections,BLD-24-0508368,2024-04-22,2024-04,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,Addition: Extend Existing Loading Dock-Good Food Creation LLC,Commercial New Construction and Additions,5910 N Florida Ave,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00NUZ&agencyCode=TAMPA
