record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-26eebe5188981851,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0476224,src-3fc818302c03b002,tpa-d0e40948105ee9,construction_inspections,BLD-20-0476224,2020-07-19,2020-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Addition and remodel,Residential New Construction and Additions (1 and 2 Family),5918 N Ola Ave,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=01QJL&agencyCode=TAMPA
rec-7de80cc5f79543c2,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0476043,src-3558b3a71642008e,tpa-a5e3000d908052,construction_inspections,BLD-20-0476043,2020-07-10,2020-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REISSUE - Columbia New Storefront,Commercial Building Alterations (Renovations),2004 E 7th Ave,Historic Ybor,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=01P72&agencyCode=TAMPA
rec-ec3cbf4f44d23373,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-20-0476436,src-8ec817e83a99e355,tpa-c6a74fb34fe160,construction_inspections,BLD-20-0476436,2020-07-27,2020-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,REISSUE - Mechanic shop-complete,Commercial New Construction and Additions,10410 N Nebraska Ave,North Tampa Community,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=01RY0&agencyCode=TAMPA
